nohup: ignoring input
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Device: cuda
Tokenizer loaded from tokenizer/tokenizer.json (vocab=32000)
============================================================
Stage 3: Building dataset
============================================================

Loading legal chunks...
  Loaded 221122 from legal_train.jsonl
  Loaded 50010 from legal_val.jsonl
  Total legal train: 221122
  Total legal val:   50010

Loading second-pass legal examples...
  Loaded 21240 from legal_second_pass.jsonl
  Total second-pass: 21240

Loading arXiv anchor (limit=20000)...
  Loaded 10000 from arxiv_aligned.jsonl
  Loaded 10000 from pubmed_aligned.jsonl
Loading CNN/DM anchor (limit=10000)...
  Loaded 10000 CNN/DM samples

  Legal chunks      : 221122
  Second-pass       : 21240
  arXiv anchor      : 20000
  CNN/DM anchor     : 10000
  Val set           : 2000
  Train steps/epoch : 24569
  Val batches       : 125
  Batch composition : 9 legal + 4 2nd-pass + 2 arXiv + 1 cnn = 16
Model built — 32,413,184 trainable parameters

Loading Stage 2 checkpoint: checkpoints/stage2_best.pt
  Stage 2 val loss: 4.3827
  Stage 2 epoch:    10
  Dropout updated to 0.3

Total steps: 368535, Warmup: 500

Reference: On March 8th, 2014, several citizens of Montgomery, Alabama, who had been imprisoned for failing to pay traffic fines, filed a lawsuit in the U.S. District Court for the Middle District of Alabama, un
============================================================

>>> Unfreezing stage 1: 17,047,808 trainable parameters
  batch   100/24569 | ce 7.3810 | cov 0.6487 | λ_cov=0.0 | grad 3.686 | lr 1.00e-05
  batch   200/24569 | ce 7.0600 | cov 0.6245 | λ_cov=0.0 | grad 3.564 | lr 2.00e-05
  batch   300/24569 | ce 6.5008 | cov 0.6217 | λ_cov=0.0 | grad 4.322 | lr 3.00e-05
  batch   400/24569 | ce 6.4876 | cov 0.6146 | λ_cov=0.0 | grad 3.592 | lr 4.00e-05
  batch   500/24569 | ce 6.4737 | cov 0.6219 | λ_cov=0.0 | grad 4.242 | lr 5.00e-05
  batch   600/24569 | ce 6.3406 | cov 0.6128 | λ_cov=0.0 | grad 3.218 | lr 5.00e-05
  batch   700/24569 | ce 6.1045 | cov 0.6168 | λ_cov=0.0 | grad 3.697 | lr 5.00e-05
  batch   800/24569 | ce 6.1052 | cov 0.6152 | λ_cov=0.0 | grad 3.721 | lr 5.00e-05
  batch   900/24569 | ce 6.2053 | cov 0.6162 | λ_cov=0.0 | grad 3.213 | lr 5.00e-05
  batch  1000/24569 | ce 6.0660 | cov 0.6108 | λ_cov=0.0 | grad 3.243 | lr 5.00e-05
  batch  1100/24569 | ce 6.0007 | cov 0.6308 | λ_cov=0.0 | grad 5.571 | lr 5.00e-05
  batch  1200/24569 | ce 6.1167 | cov 0.6229 | λ_cov=0.0 | grad 5.947 | lr 5.00e-05
  batch  1300/24569 | ce 6.0760 | cov 0.6182 | λ_cov=0.0 | grad 3.902 | lr 5.00e-05
  batch  1400/24569 | ce 5.8173 | cov 0.6206 | λ_cov=0.0 | grad 3.373 | lr 5.00e-05
