nohup: ignoring input
Device: cuda
Tokenizer loaded from tokenizer/tokenizer.json (vocab=32000)
============================================================
Stage 2: Building dataset
============================================================

Loading aligned chunk data...
  Loaded 1501124 examples from arxiv_aligned.jsonl
  Loaded 777318 examples from pubmed_aligned.jsonl
  Total aligned chunks: 2278442

Loading second-pass examples...
  Loaded 315737 examples from second_pass.jsonl

Loading CNN/DailyMail anchor data...
  CNN/DM anchor samples: 287113

Building validation set (first chunk per paper, no augment)...

  Chunk examples    : 2278442
  Second-pass       : 315737
  Anchor (CNN/DM)   : 287113
  Val (first chunk) : 5000
  Train steps/epoch : 60000
  Val batches       : 313
  Batch composition : 9 chunk + 4 second-pass + 3 anchor = 16
Model built — 32,413,184 trainable parameters

Loading Stage 1 checkpoint: checkpoints/stage1_best.pt
  Stage 1 val loss: 3.7116
  Stage 1 epoch:    15
  Dropout updated to 0.15

Total steps: 480000, Warmup: 4000

Reference: additive models play an important role in semiparametric statistics . 
 this paper gives learning rates for regularized kernel based methods for additive models . 
 these learning rates compare favour
============================================================
  batch   200/60000 | loss 6.7601 | grad 3.052 | lr 5.00e-06
  batch   400/60000 | loss 6.3147 | grad 3.113 | lr 1.00e-05
  batch   600/60000 | loss 5.9235 | grad 2.432 | lr 1.50e-05
  batch   800/60000 | loss 5.7355 | grad 2.447 | lr 2.00e-05
  batch  1000/60000 | loss 5.6366 | grad 2.116 | lr 2.50e-05
  batch  1200/60000 | loss 5.6069 | grad 2.141 | lr 3.00e-05
  batch  1400/60000 | loss 5.3126 | grad 1.940 | lr 3.50e-05
  batch  1600/60000 | loss 5.5114 | grad 2.117 | lr 4.00e-05
  batch  1800/60000 | loss 5.4939 | grad 2.028 | lr 4.50e-05
  batch  2000/60000 | loss 5.0295 | grad 2.434 | lr 5.00e-05
  batch  2200/60000 | loss 5.2310 | grad 2.052 | lr 5.50e-05
  batch  2400/60000 | loss 5.2644 | grad 1.795 | lr 6.00e-05
  batch  2600/60000 | loss 5.0423 | grad 2.033 | lr 6.50e-05
  batch  2800/60000 | loss 5.1600 | grad 2.156 | lr 7.00e-05
  batch  3000/60000 | loss 5.0116 | grad 2.128 | lr 7.50e-05
  batch  3200/60000 | loss 5.0125 | grad 2.014 | lr 8.00e-05
