nohup: ignoring input
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Device: cuda
Tokenizer loaded from tokenizer/tokenizer.json (vocab=32000)
============================================================
Stage 3: Building dataset
============================================================

Loading legal chunks...
  Loaded 221122 from legal_train.jsonl
  Loaded 50010 from legal_val.jsonl
  Total legal train: 221122
  Total legal val:   50010

Loading second-pass legal examples...
  Loaded 21240 from legal_second_pass.jsonl
  Total second-pass: 21240

Loading arXiv anchor (limit=20000)...
  Loaded 10000 from arxiv_aligned.jsonl
  Loaded 10000 from pubmed_aligned.jsonl
Loading CNN/DM anchor (limit=10000)...
  Loaded 10000 CNN/DM samples

  Legal chunks      : 221122
  Second-pass       : 21240
  arXiv anchor      : 20000
  CNN/DM anchor     : 10000
  Val set           : 2000
  Train steps/epoch : 24569
  Val batches       : 125
  Batch composition : 9 legal + 4 2nd-pass + 2 arXiv + 1 cnn = 16
Model built — 32,413,184 trainable parameters

Loading Stage 2 checkpoint: checkpoints/stage2_best.pt
  Stage 2 val loss: 4.4732
  Stage 2 epoch:    3
  Dropout updated to 0.3

Total steps: 245690, Warmup: 500

Reference: On March 8th, 2014, several citizens of Montgomery, Alabama, who had been imprisoned for failing to pay traffic fines, filed a lawsuit in the U.S. District Court for the Middle District of Alabama, un
============================================================

>>> Unfreezing stage 1: 17,047,808 trainable parameters
  batch   100/24569 | loss 6.8964 | grad 2.993 | lr 1.00e-05
  batch   200/24569 | loss 6.8573 | grad 2.101 | lr 2.00e-05
  batch   300/24569 | loss 6.6865 | grad 2.095 | lr 3.00e-05
  batch   400/24569 | loss 6.5024 | grad 2.276 | lr 4.00e-05
  batch   500/24569 | loss 6.2838 | grad 2.231 | lr 5.00e-05
  batch   600/24569 | loss 6.1343 | grad 2.062 | lr 5.00e-05
  batch   700/24569 | loss 6.0976 | grad 2.328 | lr 5.00e-05
  batch   800/24569 | loss 6.1872 | grad 1.984 | lr 5.00e-05
  batch   900/24569 | loss 5.8222 | grad 2.227 | lr 5.00e-05
  batch  1000/24569 | loss 5.9560 | grad 2.234 | lr 5.00e-05
  batch  1100/24569 | loss 5.5749 | grad 2.003 | lr 5.00e-05
  batch  1200/24569 | loss 6.0039 | grad 29.235 | lr 5.00e-05
  batch  1300/24569 | loss 5.6498 | grad 2.114 | lr 5.00e-05
  batch  1400/24569 | loss 5.7785 | grad 2.075 | lr 5.00e-05
  batch  1500/24569 | loss 5.6515 | grad 2.636 | lr 5.00e-05
  batch  1600/24569 | loss 5.7595 | grad 2.045 | lr 5.00e-05
  batch  1700/24569 | loss 5.7313 | grad 2.029 | lr 5.00e-05
  batch  1800/24569 | loss 5.5349 | grad 2.172 | lr 5.00e-05
  batch  1900/24569 | loss 5.5427 | grad 8.522 | lr 5.00e-05
  batch  2000/24569 | loss 5.6879 | grad 1.998 | lr 5.00e-05
  batch  2100/24569 | loss 5.4862 | grad 2.159 | lr 5.00e-05
  batch  2200/24569 | loss 5.5532 | grad 2.264 | lr 5.00e-05
  batch  2300/24569 | loss 5.5195 | grad 2.372 | lr 5.00e-05
  batch  2400/24569 | loss 5.4295 | grad 3.448 | lr 5.00e-05
  batch  2500/24569 | loss 5.7108 | grad 1.986 | lr 5.00e-05
  batch  2600/24569 | loss 5.5800 | grad 2.037 | lr 5.00e-05
  batch  2700/24569 | loss 5.5827 | grad 2.287 | lr 5.00e-05
  batch  2800/24569 | loss 5.4463 | grad 2.148 | lr 5.00e-05
  batch  2900/24569 | loss 5.1908 | grad 1.959 | lr 5.00e-05
  batch  3000/24569 | loss 5.4136 | grad 2.023 | lr 5.00e-05
  batch  3100/24569 | loss 5.4005 | grad 2.164 | lr 5.00e-05
  batch  3200/24569 | loss 5.3211 | grad 2.032 | lr 5.00e-05
  batch  3300/24569 | loss 5.3198 | grad 2.210 | lr 5.00e-05
  batch  3400/24569 | loss 5.2504 | grad 2.308 | lr 5.00e-05
  batch  3500/24569 | loss 5.3288 | grad 2.293 | lr 5.00e-05
  batch  3600/24569 | loss 5.2589 | grad 2.079 | lr 5.00e-05
  batch  3700/24569 | loss 5.4046 | grad 2.020 | lr 5.00e-05
  batch  3800/24569 | loss 5.3988 | grad 2.042 | lr 5.00e-05
  batch  3900/24569 | loss 5.1504 | grad 2.023 | lr 5.00e-05
  batch  4000/24569 | loss 5.3812 | grad 2.175 | lr 5.00e-05
  batch  4100/24569 | loss 5.3001 | grad 1.935 | lr 5.00e-05
  batch  4200/24569 | loss 5.0333 | grad 2.197 | lr 5.00e-05
  batch  4300/24569 | loss 5.4846 | grad 2.058 | lr 5.00e-05
  batch  4400/24569 | loss 5.1396 | grad 2.006 | lr 5.00e-05
